,precision,recall,f1-score,support
IC-5332,0.5238095238095238,0.42777777777777776,0.4709480122324159,180.0
M-74,0.0,0.0,0.0,400.0
NGC-4499,0.0,0.0,0.0,295.0
NGC188,0.0,0.0,0.0,175.0
NGC3256_nuc1,0.37174721189591076,0.9230769230769231,0.5300353356890459,325.0
NGC_1365,0.3019067796610169,0.7916666666666666,0.4371165644171779,360.0
NGC_1433,0.4852941176470588,0.5409836065573771,0.5116279069767442,305.0
NGC_628,0.625,0.10204081632653061,0.17543859649122806,245.0
accuracy,0.3728665207877462,0.3728665207877462,0.3728665207877462,0.3728665207877462
macro avg,0.2884697041266888,0.34819322380065937,0.2656458019758265,2285.0
weighted avg,0.2734922121278794,0.3728665207877462,0.2684564802009701,2285.0
