,precision,recall,f1-score,support
IC-5332,1.0,0.9333333333333333,0.9655172413793104,180.0
M-74,0.9922279792746114,0.9575,0.9745547073791349,400.0
NGC-4499,0.9829931972789115,0.9796610169491525,0.9813242784380306,295.0
NGC188,0.8787878787878788,0.9942857142857143,0.9329758713136729,175.0
NGC3256_nuc1,0.9969325153374233,1.0,0.9984639016897081,325.0
NGC_1365,0.997229916897507,1.0,0.9986130374479889,360.0
NGC_1433,0.9870550161812298,1.0,0.993485342019544,305.0
NGC_628,0.9670781893004116,0.9591836734693877,0.9631147540983607,245.0
accuracy,0.9798687089715536,0.9798687089715536,0.9798687089715536,0.9798687089715536
macro avg,0.9752880866322466,0.9779954672546984,0.9760061417207189,2285.0
weighted avg,0.9810301258541108,0.9798687089715536,0.98002364622299,2285.0
