,precision,recall,f1-score,support
IC-5332,0.9940119760479041,0.9222222222222223,0.9567723342939481,180.0
M-74,0.9825436408977556,0.985,0.9837702871410736,400.0
NGC-4499,0.9628378378378378,0.9661016949152542,0.9644670050761421,295.0
NGC188,0.9392265193370166,0.9714285714285714,0.9550561797752809,175.0
NGC3256_nuc1,1.0,1.0,1.0,325.0
NGC_1365,0.989010989010989,1.0,0.994475138121547,360.0
NGC_1433,0.9870550161812298,1.0,0.993485342019544,305.0
NGC_628,0.9710743801652892,0.9591836734693877,0.9650924024640657,245.0
accuracy,0.9803063457330415,0.9803063457330415,0.9803063457330415,0.9803063457330415
macro avg,0.9782200449347528,0.9754920202544295,0.9766398361114501,2285.0
weighted avg,0.9804596823691868,0.9803063457330415,0.9802413350682233,2285.0
