,precision,recall,f1-score,support
IC-5332,0.8770053475935828,0.9111111111111111,0.8937329700272479,180.0
M-74,0.7921225382932167,0.905,0.8448074679113186,400.0
NGC-4499,0.6732673267326733,0.6915254237288135,0.6822742474916388,295.0
NGC188,0.9148936170212766,0.49142857142857144,0.6394052044609665,175.0
NGC3256_nuc1,0.9842271293375394,0.96,0.9719626168224299,325.0
NGC_1365,0.70995670995671,0.9111111111111111,0.7980535279805353,360.0
NGC_1433,0.8416666666666667,0.6622950819672131,0.7412844036697248,305.0
NGC_628,0.8977777777777778,0.8244897959183674,0.8595744680851064,245.0
accuracy,0.8140043763676149,0.8140043763676149,0.8140043763676149,0.8140043763676149
macro avg,0.8363646391724304,0.7946201369081485,0.8038868633061209,2285.0
weighted avg,0.825187021337855,0.8140043763676149,0.8104316603503431,2285.0
